title,release_year,revenue,vote_average,popularity,genres_str
Stiff Upper Lips,1998,0,10.0,0.356495,Comedy
"Dancer, Texas Pop. 81",1998,565592,10.0,0.376662,"Comedy, Drama, Family"
Me You and Five Bucks,2015,0,10.0,0.094105,"Romance, Comedy, Drama"
One Man's Hero,1999,0,9.3,0.910529,"Western, Action, Drama, History"
The Shawshank Redemption,1994,28341469,8.5,136.747729,"Drama, Crime"
There Goes My Baby,1994,123509,8.5,0.037073,"Drama, Comedy"
The Prisoner of Zenda,1937,0,8.4,4.021389,"Adventure, Drama, Romance"
The Godfather,1972,245066411,8.4,143.659698,"Drama, Crime"
Fight Club,1999,100853753,8.3,146.757391,Drama
Schindler's List,1993,321365567,8.3,104.469351,"Drama, History, War"
Spirited Away,2001,274925095,8.3,118.968562,"Fantasy, Adventure, Animation, Family"
The Godfather: Part II,1974,47542841,8.3,105.792936,"Drama, Crime"
Pulp Fiction,1994,213928762,8.3,121.463076,"Thriller, Crime"
Whiplash,2014,13092000,8.3,192.528841,Drama
Counting,2015,0,8.3,0.293587,Documentary
The Dark Knight,2008,1004558444,8.2,187.322927,"Drama, Action, Crime, Thriller"
The Green Mile,1999,284600000,8.2,103.698022,"Fantasy, Drama, Crime"
Forrest Gump,1994,677945399,8.2,138.133331,"Comedy, Drama, Romance"
Once Upon a Time in America,1984,0,8.2,49.336397,"Drama, Crime"
GoodFellas,1990,46836394,8.2,63.654244,"Drama, Crime"
Howl's Moving Castle,2004,234710455,8.2,49.549984,"Fantasy, Animation, Adventure"
The Empire Strikes Back,1980,538400000,8.2,78.51783,"Adventure, Action, Science Fiction"
Psycho,1960,32000000,8.2,93.067866,"Drama, Horror, Thriller"
Princess Mononoke,1997,159375308,8.2,60.732738,"Adventure, Fantasy, Animation"
The Visual Bible: The Gospel of John,2003,4069090,8.2,3.208172,"Drama, History"
American History X,1998,23875127,8.2,73.567232,Drama
One Flew Over the Cuckoo's Nest,1975,108981275,8.2,127.525581,Drama
Anne of Green Gables,1985,0,8.2,8.772574,"Drama, Family"
Seven Samurai,1954,271841,8.2,39.756748,"Action, Drama"
12 Angry Men,1957,1000000,8.2,59.259204,Drama
Interstellar,2014,675120017,8.1,724.247784,"Adventure, Drama, Science Fiction"
Inception,2010,825532764,8.1,167.58371,"Action, Thriller, Science Fiction, Mystery, Adventure"
The Lord of the Rings: The Return of the King,2003,1118888979,8.1,123.630332,"Adventure, Fantasy, Action"
Se7en,1995,327311859,8.1,79.579532,"Crime, Mystery, Thriller"
The Silence of the Lambs,1991,272742922,8.1,18.174804,"Crime, Drama, Thriller"
The Shining,1980,44017374,8.1,78.699993,"Horror, Thriller"
Dead Poets Society,1989,235860116,8.1,55.458584,Drama
Room,2015,35401758,8.1,66.11334,"Drama, Thriller"
Star Wars,1977,775398007,8.1,126.393695,"Adventure, Action, Science Fiction"
Love Jones,1997,0,8.1,1.000178,"Comedy, Drama, Romance"
The Usual Suspects,1995,23341568,8.1,64.025031,"Drama, Crime, Thriller"
Memento,2000,39723096,8.1,60.715151,"Mystery, Thriller"
Once Upon a Time in the West,1968,5321508,8.1,49.333137,Western
"Guten Tag, Ramón",2013,0,8.1,1.771584,Drama
City of God,2002,30641770,8.1,44.356711,"Drama, Crime"
The Apartment,1960,25000000,8.1,22.889294,"Comedy, Drama, Romance"
Modern Times,1936,8500000,8.1,28.27648,"Drama, Comedy"
"The Good, the Bad and the Ugly",1966,6000000,8.1,88.377076,Western
Inside Out,2015,857611174,8.0,128.655964,"Drama, Comedy, Animation, Family"
The Lord of the Rings: The Fellowship of the Ring,2001,871368364,8.0,138.049577,"Adventure, Fantasy, Action"
